Fe(acac)3 -- vibronic analysis
TPSSh / def2-TZVP(Fe,O) def2-SVP(C,H) / SMD(water) / TDA, ORCA 6
Ground state: 123 real modes, 0 imaginary


====================================================================================================
ROOT 15   E = 2.918 eV = 424.8 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 2543.7 cm-1 = 0.3154 eV
   gradient unaccounted for by the vibrations = 0.155 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
   89    1373.93    3.929364e-5      -0.0793      0.00315         4.32     0.0141
   90    1442.12    5.203191e-6      -0.0098      0.00005         0.07     0.0002
   91    1442.18   -2.182245e-5       0.0410      0.00084         1.21     0.0041
   92    1442.25   -2.018458e-5       0.0379      0.00072         1.04     0.0035
   93    1442.30    6.456783e-7      -0.0012      0.00000         0.00     0.0000
   94    1442.38   -7.295689e-6       0.0137      0.00009         0.14     0.0005
   95    1442.40   -8.182685e-6       0.0154      0.00012         0.17     0.0006
   96    1442.81    3.635367e-5      -0.0682      0.00233         3.36     0.0115
   97    1442.82   -3.746490e-5       0.0703      0.00247         3.56     0.0122
   98    1443.86    1.295082e-4      -0.2427      0.02945        42.53     0.1460
   99    1445.41    1.839298e-7      -0.0003      0.00000         0.00     0.0000
  100    1446.26   -6.208897e-6       0.0116      0.00007         0.10     0.0003
  101    1446.38    4.540200e-7      -0.0008      0.00000         0.00     0.0000
  102    1542.81    4.723990e-5      -0.0802      0.00321         4.96     0.0182
  103    1543.19   -1.321538e-6       0.0022      0.00000         0.00     0.0000
  104    1550.98   -3.366371e-5       0.0567      0.00161         2.49     0.0092
  105    1551.21   -6.131146e-6       0.0103      0.00005         0.08     0.0003
  106    1551.82    7.350934e-7      -0.0012      0.00000         0.00     0.0000
  107    1559.53    3.522985e-4      -0.5882      0.17297       269.75     1.0000
  108    3043.94    3.810544e-6      -0.0023      0.00000         0.01     0.0001
  109    3043.96   -4.815227e-6       0.0029      0.00000         0.01     0.0001
  110    3044.06   -5.601347e-6       0.0034      0.00001         0.02     0.0001
  111    3044.11    3.110546e-5      -0.0190      0.00018         0.55     0.0040
  112    3044.24   -3.244365e-7       0.0002      0.00000         0.00     0.0000
  113    3044.38    4.350765e-6      -0.0027      0.00000         0.01     0.0001
  114    3122.47   -9.146777e-8       0.0001      0.00000         0.00     0.0000
  115    3122.52   -3.810811e-8       0.0000      0.00000         0.00     0.0000
  116    3122.96   -2.029151e-7       0.0001      0.00000         0.00     0.0000
  117    3122.99   -8.685522e-8       0.0001      0.00000         0.00     0.0000
  118    3123.81   -9.172866e-7       0.0005      0.00000         0.00     0.0000
  119    3123.83    1.439587e-6      -0.0008      0.00000         0.00     0.0000
  120    3164.37   -2.842286e-6       0.0016      0.00000         0.00     0.0000
  121    3164.39   -6.536980e-6       0.0038      0.00001         0.02     0.0002
  122    3167.31   -4.182014e-6       0.0024      0.00000         0.01     0.0001
  123    3167.33   -2.304219e-6       0.0013      0.00000         0.00     0.0000
  124    3167.85   -2.686100e-6       0.0015      0.00000         0.00     0.0000
  125    3167.90    2.982120e-6      -0.0017      0.00000         0.00     0.0000
  126    3217.33    1.348949e-5      -0.0076      0.00003         0.09     0.0007
  127    3217.38   -2.468265e-5       0.0139      0.00010         0.31     0.0024
  128    3219.72    8.026945e-7      -0.0005      0.00000         0.00     0.0000

B. DUSCHINSKY MODE CORRESPONDENCE  (200-1800 cm-1 block)
   excited state: 114 real modes, 9 imaginary
   block: 79 ground-state x 77 excited-state modes
   mean participation = 4.322   (1.0 = modes preserved intact)
   modes with overlap > 0.7 : 12 of 77

   ES/cm-1    <-GS/cm-1      shift    overlap  participation    GSidx
    219.77       258.18     -38.41     0.4196           3.68       33
    227.43       246.88     -19.45     0.5889           2.36       32
    232.38       241.42      -9.04     0.3673           4.47       30
    243.15       242.16       0.98     0.5240           3.00       31
    279.17       277.60       1.56     0.3397           5.31       35
    334.26       406.08     -71.82     0.5796           2.66       38
    349.18       435.03     -85.85     0.4604           3.45       41
    362.21       417.21     -55.00     0.2900           4.94       39
    391.02       402.43     -11.42     0.7583           1.64       37
    406.84       400.30       6.54     0.5257           2.78       36
    415.76       420.71      -4.95     0.4713           3.72       40
    435.58       406.08      29.50     0.3250           5.48       38
    513.62       531.25     -17.62     0.9043           1.22       42
    527.17       562.81     -35.64     0.7574           1.73       45
    541.04       532.31       8.73     0.7800           1.59       43
    569.61       563.97       5.64     0.2879           6.20       47
    577.30       563.90      13.40     0.6241           2.47       46
    594.11       563.90      30.21     0.2598           7.19       46
    605.87       563.97      41.90     0.4417           4.11       47
    631.42       654.64     -23.22     0.3414           4.75       48
    640.86       661.09     -20.24     0.2933           4.26       50
    658.29       656.48       1.81     0.2975           4.82       49
    675.10       667.32       7.78     0.3349           4.56       53
    686.89       664.88      22.01     0.5500           3.02       51
    720.13       667.32      52.81     0.1676          13.33       53
    775.16       811.06     -35.90     0.2740           7.54       54
    784.72       811.06     -26.34     0.1602          11.52       54
    798.60       811.22     -12.61     0.7145           1.85       55
    806.95       811.06      -4.11     0.4737           2.99       54
    918.74       951.46     -32.72     0.2620           5.64       62
    936.48       949.43     -12.95     0.6677           2.06       59
    943.04       950.32      -7.28     0.7494           1.71       61
    955.91       948.09       7.82     0.5284           2.99       58
    958.58       950.09       8.49     0.4488           3.66       60
    975.30       951.46      23.84     0.3404           4.32       62
   1002.65      1026.29     -23.64     0.2732           6.34       64
   1018.22      1026.06      -7.85     0.5515           2.69       63
   1021.56      1027.07      -5.51     0.3893           4.65       67
   1023.29      1028.03      -4.74     0.8637           1.33       68
   1024.43      1026.71      -2.28     0.3891           4.19       66
   1033.06      1039.98      -6.92     0.6113           2.16       72
   1040.09      1026.34      13.74     0.4883           3.64       65
   1047.85      1031.27      16.58     0.6136           2.51       69
   1052.33      1031.41      20.92     0.3721           4.46       70
   1078.58      1040.12      38.46     0.4405           3.44       73
   1095.41      1040.16      55.25     0.2969           7.40       74
   1137.39      1040.16      97.23     0.2956           8.51       74
   1175.49      1194.28     -18.79     0.8330           1.44       76
   1179.93      1193.64     -13.71     0.8581           1.35       75
   1202.47      1195.97       6.50     0.8012           1.55       77
   1237.58      1290.46     -52.88     0.3729           5.50       79
   1284.93      1289.25      -4.32     0.6315           2.11       78
   1318.01      1295.48      22.53     0.5627           2.99       80
   1338.21      1373.93     -35.72     0.1898           8.83       89
   1365.40      1370.63      -5.23     0.7182           1.84       86
   1367.18      1370.23      -3.05     0.5558           2.75       84
   1373.95      1373.66       0.29     0.5417           2.84       88
   1385.76      1373.93      11.83     0.2506           6.89       89
   1392.23      1370.27      21.95     0.2746           6.68       85
   1399.75      1346.36      53.38     0.3723           5.76       81
   1406.55      1346.79      59.76     0.2186           9.03       82
   1421.93      1445.41     -23.48     0.2434           8.81       99
   1434.75      1446.26     -11.51     0.3534           5.60      100
   1434.99      1442.18      -7.19     0.5972           2.51       91
   1436.22      1442.30      -6.08     0.8562           1.36       93
   1438.26      1442.12      -3.86     0.5087           3.36       90
   1440.58      1442.25      -1.67     0.5192           2.85       92
   1442.06      1443.86      -1.80     0.6051           2.57       98
   1444.36      1442.40       1.97     0.4876           3.64       95
   1456.98      1446.38      10.59     0.2369           8.72      101
   1465.00      1446.26      18.75     0.2467           8.23      100
   1482.13      1551.21     -69.08     0.3686           4.76      105
   1500.36      1551.21     -50.85     0.4034           3.20      105
   1506.00      1550.98     -44.98     0.6025           2.50      104
   1525.81      1551.82     -26.01     0.6322           2.45      106
   1551.33      1559.53      -8.20     0.6458           2.19      107
   1581.05      1551.82      29.23     0.2279          12.19      106

====================================================================================================
ROOT 61   E = 4.475 eV = 277 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 4749.8 cm-1 = 0.5889 eV
   gradient unaccounted for by the vibrations = 0.210 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
    6      15.32    1.163471e-7      -0.1995      0.01990         0.30     0.0000
    7      19.49   -9.975830e-9       0.0119      0.00007         0.00     0.0000
    8      27.42    2.069656e-7      -0.1482      0.01099         0.30     0.0000
    9      40.15   -3.589961e-7       0.1451      0.01053         0.42     0.0000
   10      40.93    5.382063e-6      -2.1131      2.23264        91.39     0.0102
   11      42.88    1.758990e-6      -0.6440      0.20739         8.89     0.0010
   12      81.75   -1.372417e-6       0.1909      0.01822         1.49     0.0003
   13      81.88    2.096211e-8      -0.0029      0.00000         0.00     0.0000
   14      82.06   -8.637361e-8       0.0119      0.00007         0.01     0.0000
   15      93.48   -7.114092e-8       0.0081      0.00003         0.00     0.0000
   16      94.36   -2.263397e-6       0.2539      0.03223         3.04     0.0008
   17      95.82   -2.724841e-6       0.2987      0.04461         4.27     0.0011
   18     116.06   -3.781452e-7       0.0311      0.00048         0.06     0.0000
   19     138.88    2.020803e-5      -1.2696      0.80593       111.92     0.0423
   20     144.77    4.366158e-7      -0.0258      0.00033         0.05     0.0000
   21     151.65    5.724198e-5      -3.1516      4.96633       753.14     0.3105
   22     156.20   -5.452978e-8       0.0029      0.00000         0.00     0.0000
   23     157.47    2.224722e-5      -1.1576      0.66997       105.50     0.0452
   24     160.65    1.395495e-7      -0.0070      0.00002         0.00     0.0000
   25     174.66   -6.038697e-6       0.2690      0.03618         6.32     0.0030
   26     175.35    6.563104e-5      -2.9063      4.22334       740.54     0.3530
   27     191.57    3.501495e-7      -0.0136      0.00009         0.02     0.0000
   28     194.40    5.177174e-5      -1.9639      1.92844       374.89     0.1981
   29     200.62    8.552305e-5      -3.0947      4.78844       960.64     0.5240
   30     241.42   -6.780255e-6       0.1859      0.01727         4.17     0.0027
   31     242.16   -1.525943e-7       0.0042      0.00001         0.00     0.0000
